Authors,URL,Title,Publication,Month,Year,Type
"Tatsuya Aoyama, \textbf{Ethan Gotlieb Wilcox}, Nathan Schneider",https://arxiv.org/abs/2511.16893,Predicting the Formation of Induction Heads,NeurIPS 2025 First Workshop on CogInterp: Interpreting Cognition in Deep Learning Models (CogInterp @ NeurIPS),December,2025,Proceedings
"Lucas Charpentier, Leshem Choshen, Ryan Cotterell, Mustafa Omer Gul, Michael Y. Hu, Jing Liu, Jaap Jumelet, Tal Linzen, Aaron Mueller, Candance Ross, Raj Sanjay Shah, Alex Warstadt, \textbf{Ethan Gotlieb Wilcox}, Adina Williams",https://aclanthology.org/2025.babylm-main.28/,Findings of the Third BabyLM Challenge: Accelerating Language Modeling Research with Cognitively Plausible Data,Proceedings of the First BabyLM Workshop,November,2025,Proceedings
"Cui Ding, Yanning Yin, Lena A. Jäger, \textbf{Ethan Gotlieb Wilcox}",https://aclanthology.org/2025.emnlp-main.592/,Modeling Bottom-up Information Quality during Language Processing,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing (EMNLP),November,2025,Proceedings
"Wesley Scivetti, Tatsuya Aoyama, \textbf{Ethan Gotlieb Wilcox}, Nathan Schneider",https://aclanthology.org/2025.emnlp-main.1399/,Unpacking Let Alone: Human-Scale Models Generalize to a Rare Construction in Form but not Meaning,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing (EMNLP),November,2025,Proceedings
"Jennifer Hu, \textbf{Ethan Gotlieb Wilcox}, Siyuan Song, Kyle Mahowald, Roger Levy",https://www.arxiv.org/abs/2510.16227,What Can String Probability Tell Us About Grammaticality?,Transactions of the Association of Computational Linguistics,October,2025,Journal
"Metehan Oğuz, Cui Ding, \textbf{Ethan Gotlieb Wilcox}, Zuzanna Fuchs",https://direct.mit.edu/opmi/article/doi/10.1162/OPMI.a.35/133662/Using-MoTR-to-Probe-Agreement-Processing-in,Using {MoTR} to Probe Agreement Processing in {R}ussian,OpenMind,October,2025,Journal
"Lucas Charpentier, Leshem Choshen, Ryan Cotterell, Mustafa Omer Gul, Michael Hu, Jaap Jumelet, Tal Linzen, Jing Liu, Aaron Mueller, Candace Ross, Raj Sanjay Shah, Alex Warstadt, \textbf{Ethan Gotlieb Wilcox}, Adina Williams",https://arxiv.org/abs/2502.10645,{BabyLM} Turns 3: {C}all for papers for the 2025 BabyLM workshop,arXiv preprint,,2025,Manuscript
"Eleftheria Tsipidi, Samuel Kiegeland, Franz Nowak, Tianyang Xu, \textbf{Ethan Gotlieb Wilcox}, Alex Warstadt, Ryan Cotterell, Mario Giulianelli",https://aclanthology.org/2025.acl-long.1527/,The Harmonic Structure of Information Contours,Proceedings of the Annual Meeting of the Association of Computational Linguistics (ACL),July,2025,Proceedings
"Tamar I Regev, Chiebuka Ohams, Shaylee Xie, Lukas Wolf, Evelina Fedorenko, Alex Warstadt, \textbf{Ethan Gotlieb Wilcox}, Tiago Pimentel",https://arxiv.org/abs/2503.11630,The time scale of redundancy between prosody and linguistic context,Proceedings of the Annual Meeting of the Association of Computational Linguistics (ACL),July,2025,Proceedings
"\textbf{Ethan Gotlieb Wilcox}, Cui Ding, Giovanni Acampa, Tiago Pimentel, Alex Warstadt, Tamar Regev",https://aclanthology.org/2025.acl-long.1192/,"Using Information Theory to Characterize Prosodic Typology: {T}he Case of Tone, Pitch-Accent and Stress-Accent",Proceedings of the Annual Meeting of the Association of Computational Linguistics (ACL),July,2025,Proceedings
